"Severity","ThreadID","Date","Time","Application","Message"
"ERROR","web-0","07/11/2010","15:52:05","","Page /index.cfm [/Users/andrea/dev/www/cfeventmanager/index.cfm] not found"
"ERROR","web-0","07/11/2010","15:52:10","","invalid component definition, can't find mxunit.framework.TestSuite"
"ERROR","web-0","07/11/2010","15:54:46","","invalid component definition, can't find coldbox.system.testing.MockBox"
"ERROR","web-0","07/11/2010","15:57:20","","invalid component definition, can't find coldbox.system.testing.MockBox"
"ERROR","web-0","07/11/2010","15:57:24","","invalid component definition, can't find coldbox.system.testing.MockBox"
"ERROR","web-0","07/11/2010","15:58:37","","variable [DEBUGARRAYWRAPPER] doesn't exist"
"ERROR","web-0","07/11/2010","16:08:37","","variable [CFCATCH] doesn't exist"
"ERROR","web-0","07/11/2010","16:13:34","","variable [CFCATCH] doesn't exist"
"ERROR","web-0","07/11/2010","16:35:27","","Directory /Users/andrea/dev/www/cfeventmanager/cfeventmanager/com/andreacfm/cfem/test does not exist"
